,RouteName,PriceStart,BusesCount,FirstBus,LastBus,BookNow,RouteLink
198,Durgapur (West Bengal) to Kolkata,From INR 150,59 bus options,First Bus : 05:00,Last Bus : 17:50,BOOK NOW,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
199,Kolkata to Haldia,From INR 98,29 bus options,First Bus : 06:30,Last Bus : 18:15,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-haldia
200,Haldia to Kolkata,From INR 110,17 bus options,First Bus : 05:00,Last Bus : 17:30,BOOK NOW,https://www.redbus.in/bus-tickets/haldia-to-kolkata
201,Kolkata to Durgapur (West Bengal),From INR 150,64 bus options,First Bus : 05:00,Last Bus : 18:30,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-durgapur
202,Kolkata to Arambagh (West Bengal),From INR 76,11 bus options,First Bus : 06:25,Last Bus : 17:30,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal
203,Digha to Kolkata,From INR 153,69 bus options,First Bus : 05:30,Last Bus : 16:40,BOOK NOW,https://www.redbus.in/bus-tickets/digha-to-kolkata
204,Kolkata to Digha,From INR 154,37 bus options,First Bus : 04:00,Last Bus : 16:30,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-digha
205,Kolkata to Bankura,From INR 180,13 bus options,First Bus : 05:40,Last Bus : 16:45,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-bankura
206,Asansol (West Bengal) to Kolkata,From INR 180,31 bus options,First Bus : 05:35,Last Bus : 16:40,BOOK NOW,https://www.redbus.in/bus-tickets/asansol-to-kolkata
207,Midnapore to Kolkata,From INR 110,22 bus options,First Bus : 04:40,Last Bus : 16:40,BOOK NOW,https://www.redbus.in/bus-tickets/midnapore-to-kolkata
208,Kolkata to Asansol (West Bengal),From INR 180,30 bus options,First Bus : 05:00,Last Bus : 17:00,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-asansol
209,Kolkata to Siliguri,From INR 1210,1 bus options,First Bus : 20:05,Last Bus : 20:05,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
210,Kolkata to Nimtouri,From INR 78,45 bus options,First Bus : 04:00,Last Bus : 18:15,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-nimtouri
211,Siliguri to Kolkata,From INR 1210,1 bus options,First Bus : 19:35,Last Bus : 19:35,BOOK NOW,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
212,Kolkata to Contai (Kanthi),From INR 126,40 bus options,First Bus : 04:00,Last Bus : 23:45,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-contai-kanthi
213,Digha to Durgapur (West Bengal),From INR 233,8 bus options,First Bus : 05:50,Last Bus : 21:30,BOOK NOW,https://www.redbus.in/bus-tickets/digha-to-durgapur
214,Kolkata to Midnapore,From INR 110,23 bus options,First Bus : 05:05,Last Bus : 18:45,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-midnapore
215,Kolkata to Nandakumar (west bengal),From INR 85,52 bus options,First Bus : 04:00,Last Bus : 18:15,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-nandakumar
216,Kolkata to Mecheda (West Bengal),From INR 68,52 bus options,First Bus : 04:00,Last Bus : 18:15,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-mecheda-west-bengal
217,Durgapur (West Bengal) to Digha,From INR 233,8 bus options,First Bus : 06:15,Last Bus : 22:00,BOOK NOW,https://www.redbus.in/bus-tickets/durgapur-to-digha
218,Kolkata to Kolaghat,From INR 64,60 bus options,First Bus : 04:00,Last Bus : 18:45,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-kolaghat
219,Jhargram to Kolkata,From INR 140,13 bus options,First Bus : 05:00,Last Bus : 15:40,BOOK NOW,https://www.redbus.in/bus-tickets/jhargram-to-kolkata
220,Digha to Barasat (West Bengal),From INR 170,7 bus options,First Bus : 06:00,Last Bus : 14:20,BOOK NOW,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
221,Durgapur (West Bengal) to Siliguri,From INR 455,3 bus options,First Bus : 17:10,Last Bus : 18:30,BOOK NOW,https://www.redbus.in/bus-tickets/durgapur-to-siliguri
222,Midnapore to Barasat (West Bengal),From INR 125,2 bus options,First Bus : 14:00,Last Bus : 16:00,BOOK NOW,https://www.redbus.in/bus-tickets/midnapore-to-barasat-west-bengal
223,Kolkata to Heria,From INR 107,34 bus options,First Bus : 04:00,Last Bus : 16:30,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-heria
224,Kolkata to Chandipur (West Bengal),From INR 96,33 bus options,First Bus : 04:00,Last Bus : 16:30,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-chandipur-west-bengal
225,Siliguri to Durgapur (West Bengal),From INR 455,3 bus options,First Bus : 16:00,Last Bus : 20:00,BOOK NOW,https://www.redbus.in/bus-tickets/siliguri-to-durgapur
226,Berhampore (West Bengal) to Durgapur (West Bengal),From INR 143,22 bus options,First Bus : 06:00,Last Bus : 15:20,BOOK NOW,https://www.redbus.in/bus-tickets/berhampore-to-durgapur
227,Berhampore (West Bengal) to Suri,From INR 91,12 bus options,First Bus : 06:00,Last Bus : 15:20,BOOK NOW,https://www.redbus.in/bus-tickets/berhampore-to-suri
228,Barasat (West Bengal) to Digha,From INR 170,7 bus options,First Bus : 04:00,Last Bus : 11:15,BOOK NOW,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha
229,Kolkata to Futishanko,From INR 140,8 bus options,First Bus : 09:30,Last Bus : 17:00,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-futishanko
230,Barasat (West Bengal) to Midnapore,From INR 125,2 bus options,First Bus : 07:20,Last Bus : 08:30,BOOK NOW,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-midnapore
231,Durgapur (West Bengal) to Berhampore (West Bengal),From INR 139,25 bus options,First Bus : 04:00,Last Bus : 16:10,BOOK NOW,https://www.redbus.in/bus-tickets/durgapur-to-berhampore
232,Durgapur (West Bengal) to Malda,From INR 224,8 bus options,First Bus : 05:00,Last Bus : 18:30,BOOK NOW,https://www.redbus.in/bus-tickets/durgapur-to-malda
233,Digha to Asansol (West Bengal),From INR 267,2 bus options,First Bus : 05:50,Last Bus : 21:30,BOOK NOW,https://www.redbus.in/bus-tickets/digha-to-asansol
234,Kolkata to Ramnagar (West Bengal),From INR 144,34 bus options,First Bus : 04:00,Last Bus : 23:45,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-ramnagar-west-bengal
235,Kolkata to Bajkul (West Bengal),From INR 103,30 bus options,First Bus : 04:00,Last Bus : 16:30,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-bajkul-west-bengal
236,Kolkata to Kirnahar (West Bengal),From INR 150,3 bus options,First Bus : 14:35,Last Bus : 16:35,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-kirnahar-west-bengal
237,Durgapur (West Bengal) to Bankura,From INR 48,30 bus options,First Bus : 05:00,Last Bus : 19:30,BOOK NOW,https://www.redbus.in/bus-tickets/durgapur-to-bankura
238,Siliguri to Malda,From INR 225,3 bus options,First Bus : 16:00,Last Bus : 20:00,BOOK NOW,https://www.redbus.in/bus-tickets/siliguri-to-malda
239,Kolkata to Suri,From INR 190,13 bus options,First Bus : 06:00,Last Bus : 18:00,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-suri
240,Purulia to Durgapur (West Bengal),From INR 112,10 bus options,First Bus : 04:45,Last Bus : 09:15,BOOK NOW,https://www.redbus.in/bus-tickets/purulia-to-durgapur
241,Delhi to Shimla,From INR 507,25 bus options,First Bus : 00:40,Last Bus : 23:40,BOOK NOW,https://www.redbus.in/bus-tickets/delhi-to-shimla
242,Shimla to Delhi,From INR 505,26 bus options,First Bus : 06:12,Last Bus : 22:30,BOOK NOW,https://www.redbus.in/bus-tickets/shimla-to-delhi
243,Manali to Chandigarh,From INR 544,27 bus options,First Bus : 00:30,Last Bus : 22:00,BOOK NOW,https://www.redbus.in/bus-tickets/manali-to-chandigarh
244,Chandigarh to Manali,From INR 539,13 bus options,First Bus : 08:45,Last Bus : 22:20,BOOK NOW,https://www.redbus.in/bus-tickets/chandigarh-to-manali
245,Delhi to Manali,From INR 804,17 bus options,First Bus : 06:40,Last Bus : 22:02,BOOK NOW,https://www.redbus.in/bus-tickets/delhi-to-manali
246,Hamirpur (Himachal Pradesh) to Chandigarh,From INR 292,31 bus options,First Bus : 04:05,Last Bus : 21:30,BOOK NOW,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
247,Delhi to Hamirpur (Himachal Pradesh),From INR 555,12 bus options,First Bus : 07:00,Last Bus : 21:55,BOOK NOW,https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh
248,Delhi to Chandigarh,From INR 255,70 bus options,First Bus : 00:40,Last Bus : 23:40,BOOK NOW,https://www.redbus.in/bus-tickets/delhi-to-chandigarh
249,Manali to Delhi,From INR 804,15 bus options,First Bus : 08:00,Last Bus : 21:30,BOOK NOW,https://www.redbus.in/bus-tickets/manali-to-delhi
250,Hamirpur (Himachal Pradesh) to Delhi,From INR 555,11 bus options,First Bus : 04:05,Last Bus : 21:30,BOOK NOW,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi
251,Chandigarh to Hamirpur (Himachal Pradesh),From INR 295,14 bus options,First Bus : 00:15,Last Bus : 21:40,BOOK NOW,https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
252,Shimla to Manali,From INR 556,7 bus options,First Bus : 08:00,Last Bus : 21:40,BOOK NOW,https://www.redbus.in/bus-tickets/shimla-to-manali
253,Delhi to Dharamshala (Himachal Pradesh),From INR 672,11 bus options,First Bus : 06:30,Last Bus : 23:05,BOOK NOW,https://www.redbus.in/bus-tickets/delhi-to-dharamshala
254,Shimla to Chandigarh,From INR 220,58 bus options,First Bus : 01:30,Last Bus : 23:30,BOOK NOW,https://www.redbus.in/bus-tickets/shimla-to-chandigarh
255,Chandigarh to Dharamshala (Himachal Pradesh),From INR 421,4 bus options,First Bus : 00:15,Last Bus : 22:10,BOOK NOW,https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala
256,Delhi to Baddi (Himachal Pradesh),From INR 312,7 bus options,First Bus : 07:20,Last Bus : 23:20,BOOK NOW,https://www.redbus.in/bus-tickets/delhi-to-baddi-himachal-pradesh
257,Dharamshala (Himachal Pradesh) to Chandigarh,From INR 407,26 bus options,First Bus : 05:00,Last Bus : 21:00,BOOK NOW,https://www.redbus.in/bus-tickets/dharamshala-to-chandigarh
258,Chamba (Himachal Pradesh) to Chandigarh,From INR 587,10 bus options,First Bus : 14:30,Last Bus : 20:15,BOOK NOW,https://www.redbus.in/bus-tickets/chamba-himachal-pradesh-to-chandigarh
259,Delhi to Dalhousie,From INR 710,4 bus options,First Bus : 17:50,Last Bus : 21:30,BOOK NOW,https://www.redbus.in/bus-tickets/delhi-to-dalhousie
260,Delhi to Chamba (Himachal Pradesh),From INR 796,4 bus options,First Bus : 17:50,Last Bus : 22:10,BOOK NOW,https://www.redbus.in/bus-tickets/delhi-to-chamba-himachal-pradesh
261,Dalhousie to Delhi,From INR 718,4 bus options,First Bus : 14:55,Last Bus : 19:50,BOOK NOW,https://www.redbus.in/bus-tickets/dalhousie-to-delhi
262,Solan to Delhi,From INR 404,20 bus options,First Bus : 07:23,Last Bus : 23:50,BOOK NOW,https://www.redbus.in/bus-tickets/solan-to-delhi
263,Delhi to Palampur,From INR 715,15 bus options,First Bus : 06:00,Last Bus : 21:59,BOOK NOW,https://www.redbus.in/bus-tickets/delhi-to-palampur
264,Dharamshala (Himachal Pradesh) to Delhi,From INR 672,8 bus options,First Bus : 05:00,Last Bus : 20:15,BOOK NOW,https://www.redbus.in/bus-tickets/dharamshala-to-delhi
265,Delhi to Solan,From INR 404,25 bus options,First Bus : 00:40,Last Bus : 23:40,BOOK NOW,https://www.redbus.in/bus-tickets/delhi-to-solan
